id,claim,source_title,source_url,source_mode,source_type,date,author_org,evidence_quote_or_paraphrase,confidence,conflicts,notes,used_in_final,topic_id,source_id,change_id
"E01","Omnigent installer currently has no codebase-memory skip/install flag.","install_oss.sh parse_args","/Users/vi/personal/heurema/omnigent/scripts/install_oss.sh:166","code_repo","code","2026-06-26","Omnigent","parse_args supports --non-interactive, --verbose, --repo, --version, and --extra only.","high","","Add --skip-codebase-memory in this function.","yes","codebase-memory-integration","S01",""
"E02","Omnigent base install uses uv tool install and is currently fatal if that install fails.","install_oss.sh install_omnigent","/Users/vi/personal/heurema/omnigent/scripts/install_oss.sh:465","code_repo","code","2026-06-26","Omnigent","install_omnigent builds target then calls run_with_spinner uv tool install --force -q --python \"$PYTHON_VERSION\" \"$target\".","high","","Companion install should be separate and non-fatal.","yes","codebase-memory-integration","S01",""
"E03","Installer main has a clean insertion point after Omnigent install and verification.","install_oss.sh main","/Users/vi/personal/heurema/omnigent/scripts/install_oss.sh:624","code_repo","code","2026-06-26","Omnigent","main calls install_omnigent, computes bin_dir, verifies omnigent, updates PATH, and prints next steps.","high","","Best insertion: after verify_omnigent and before maybe_add_bin_to_path/next steps.","yes","codebase-memory-integration","S01",""
"E04","Installer tests can cover flag parsing and shell functions without network.","test_install_oss.py","/Users/vi/personal/heurema/omnigent/tests/scripts/test_install_oss.py:37","code_repo","test","2026-06-26","Omnigent","Tests strip the trailing main call, source the installer as a shell library, and run snippets in fresh POSIX sh.","high","","Use same pattern for skip flag and stubbed companion install.","yes","codebase-memory-integration","S02",""
"E05","omnigent setup is an explicit user-facing setup command where repair/check prompts can live.","omnigent cli setup","/Users/vi/personal/heurema/omnigent/omnigent/cli.py:11323","code_repo","code","2026-06-26","Omnigent","setup prints landing, then standard path runs _run_configure_harnesses_interactive; internal-beta path performs explicit setup side effects.","high","","Good home for explicit check/repair, not hidden package install.","yes","codebase-memory-integration","S03",""
"E06","Remote sandbox wheel overlays do not install new dependencies automatically.","sandboxes base","/Users/vi/personal/heurema/omnigent/omnigent/onboarding/sandboxes/base.py:42","code_repo","code","2026-06-26","Omnigent","host_image_wheel_install_command uses pip install --force-reinstall --no-deps oa-wheels/*.whl against DEFAULT_HOST_IMAGE.","high","","Remote sandbox integration must be a host image layer follow-up.","yes","codebase-memory-integration","S04",""
"E07","Omnigent currently has no direct codebase-memory-mcp reference in inspected files.","rg search","/Users/vi/personal/heurema/omnigent","code_repo","tool","2026-06-26","Codex","rg over pyproject.toml, scripts/install_oss.sh, omnigent/onboarding/sandboxes/base.py, omnigent/cli.py, and tests/scripts/test_install_oss.py found no codebase-memory references.","medium","","Search was scoped to likely first-PR files, not the entire repository.","yes","codebase-memory-integration","S01",""
"E08","codebase-memory-mcp PyPI package exposes a console script, not vendored Omnigent behavior.","pkg/pypi pyproject","/Users/vi/personal/heurema/codebase-memory-mcp/pkg/pypi/pyproject.toml:5","code_repo","packaging","2026-06-26","codebase-memory-mcp","Project name is codebase-memory-mcp and project.scripts maps codebase-memory-mcp to codebase_memory_mcp:main.","high","","Supports uv tool install as companion tool.","yes","codebase-memory-integration","S05",""
"E09","The PyPI wrapper downloads a platform binary from GitHub Releases on first run.","pkg/pypi wrapper","/Users/vi/personal/heurema/codebase-memory-mcp/pkg/pypi/src/codebase_memory_mcp/_cli.py:152","code_repo","code","2026-06-26","codebase-memory-mcp","_download builds a GitHub Releases URL and fetches the platform archive; main downloads if bin_path does not exist, then execs it.","high","","Omnigent should call --version during install to surface download failures immediately and warn non-fatally.","yes","codebase-memory-integration","S06",""
"E10","codebase-memory-mcp install writes/refreshes agent configs and hooks.","README multi-agent support","/Users/vi/personal/heurema/codebase-memory-mcp/README.md:333","product_docs","docs","2026-06-26","codebase-memory-mcp","install auto-detects agents and configures MCP config, instruction files, and hooks.","high","","This is an explicit installer/setup side effect, not package dependency behavior.","yes","codebase-memory-integration","S08",""
"E11","auto_index is an explicit codebase-memory-mcp configuration setting.","README auto-index","/Users/vi/personal/heurema/codebase-memory-mcp/README.md:109","product_docs","docs","2026-06-26","codebase-memory-mcp","README documents codebase-memory-mcp config set auto_index true and says new projects index automatically on MCP session start.","high","","Safe to repair/check separately from package dependency installation.","yes","codebase-memory-integration","S08",""
"E12","Running codebase-memory-mcp install with -y can delete existing index DBs automatically.","cli install prompt","/Users/vi/personal/heurema/codebase-memory-mcp/src/cli/cli.c:3434","code_repo","code","2026-06-26","codebase-memory-mcp","If count_db_indexes(home) > 0, install prompts to delete indexes; parse_auto_answer makes -y answer yes automatically, then cbm_remove_indexes runs unless dry-run.","high","Conflicts with unconditional install -y in the initial plan.","This is the main caveat discovered by the run.","yes","codebase-memory-integration","S07",""
"E13","codebase-memory-mcp install --plan is non-mutating and reports planned agent config writes.","install plan","/Users/vi/personal/heurema/codebase-memory-mcp/src/cli/cli.c:3320","code_repo","code","2026-06-26","codebase-memory-mcp","--plan emits a machine-readable receipt without config writes, index deletion, or network; next_safe_command is install -y.","high","","Useful for Omnigent setup/verbose transparency, but current plan does not remove the -y index caveat.","yes","codebase-memory-integration","S07",""
"E14","Provider probe found usable proposer/skeptic routes and an agy limitation.","provider doctor","/Users/vi/personal/heurema/goalrail/.heurema/rdlab/providers.toml","internal_doc","tool","2026-06-26","RDLab","claude-sonnet, claude-haiku, and vibe-default returned expected probe tokens; agy-default exited 0 with empty stdout.","high","","Use claude-sonnet and vibe-default for debate; record agy limitation.","yes","codebase-memory-integration","S09",""
"E15","Proposer pass supports companion install with warning-not-fatal behavior.","claude-sonnet proposer","provider:claude-sonnet","expert_blog","provider_opinion","2026-06-26","Anthropic Claude Code subscription","The proposer rejected vendoring/dependency and recommended installer binary install plus setup repair, with tests for skip and non-fatal failures.","medium","","Opinion only; accepted where supported by code evidence.","yes","codebase-memory-integration","S10",""
"E16","Skeptic pass identified runtime download, remote sandbox, and default mutation risks.","vibe-default skeptic","provider:vibe-default","expert_blog","provider_opinion","2026-06-26","Mistral Vibe subscription","The skeptic pushed for guardrails around platform/download, remote sandbox exclusion, and not doing deep hooks in the first PR.","medium","","Some proposed hard-fail/opt-in defaults are stricter than needed, but risks are useful.","yes","codebase-memory-integration","S11",""
